doi	N_source	solvent	N_amount	MeOH_amount	MeOH/N_ratio	base	base_amount	base_ratio	catalyst	metal	ligand	atmosphere	cat_load	temp	time	yield_PhNHMe	yield_PhN(Me)2	TON	comment	year	success	num_temp_range	label_temp_range	yield
10.1021/ja01589a036	aniline	MeOH	100.0	2465.0	24.65	no base	0.0	0.0	Raney Ni	Ni	no	air		65	3	0	0			2005	False	6	[60,70)	0
10.1246/cl.1988.449	aniline	dioxane	20.0	80.0	4.0	no base	0.0	0.0	RuCl3*nH2O	Ru	6% P(OBu)3	air	2.0	180	15	6	80	43.0		2006	True	18	[180,190)	86
10.1246/cl.1988.449	aniline	dioxane	20.0	80.0	4.0	no base	0.0	0.0	RuCl3*nH2O	Ru	6% P(OiPr)3	air	2.0	180	15	30	46	38.0		2006	True	18	[180,190)	76
10.1246/cl.1988.449	aniline	dioxane	20.0	80.0	4.0	no base	0.0	0.0	RuCl3*nH2O	Ru	6% P(OPh)3	air	2.0	180	15	22	40	31.0		2006	False	18	[180,190)	62
10.1246/cl.1988.449	aniline	dioxane	20.0	80.0	4.0	no base	0.0	0.0	RuCl3*nH2O	Ru	6% P(OEt)3	air	2.0	180	15	23	44	33.5		2006	True	18	[180,190)	67
10.1246/cl.1988.449	aniline	dioxane	20.0	80.0	4.0	no base	0.0	0.0	RuH2(P(OEt)3)4	Ru	no	air	2.0	180	15	34	30	32.0		2006	False	18	[180,190)	64
10.1246/cl.1988.449	aniline	dioxane	20.0	80.0	4.0	no base	0.0	0.0	RuCl3*nH2O	Ru	no	air	2.0	180	15	11	0	5.5		2006	False	18	[180,190)	11
10.1246/cl.1988.449	aniline	dioxane	20.0	80.0	4.0	no base	0.0	0.0	RuCl2(PPh3)3	Ru	no	air	2.0	180	15	23	3	13.0		2006	False	18	[180,190)	26
10.1246/cl.1988.449	aniline	dioxane	20.0	80.0	4.0	no base	0.0	0.0	RuH2(PPh3)4	Ru	no	air	2.0	180	15	3	0	1.5		2006	False	18	[180,190)	3
10.1246/cl.1988.449	aniline	dioxane	20.0	80.0	4.0	no base	0.0	0.0	RuCl3*nH2O	Ru	6% P(Bu)3	air	2.0	180	15	8	0	4.0	p, MPa	2006	False	18	[180,190)	8
10.1039/b905656d	nitroarene	MeOH	9.75	1481.0	151.89743589743588	no base	0.0	0.0	Raney Ni	Ni	no	air		140	25	5	89		2	2009	True	14	[140,150)	94
10.1039/b905656d	nitroarene	MeOH	9.75	1481.0	151.89743589743588	no base	0.0	0.0	Raney Ni	Ni	no	air		150	25	2	92		2	2009	True	15	[150,160)	94
10.1039/b905656d	nitroarene	MeOH	9.75	1481.0	151.89743589743588	no base	0.0	0.0	Raney Ni	Ni	no	air		160	25	3	92		2.5	2009	True	16	[160,170)	95
10.1039/b905656d	nitroarene	MeOH	9.75	1481.0	151.89743589743588	no base	0.0	0.0	Raney Ni	Ni	no	air		170	25	2	94		3	2009	True	17	[170,180)	96
10.1039/b905656d	nitroarene	MeOH	9.75	1481.0	151.89743589743588	no base	0.0	0.0	Raney Ni	Ni	no	air		180	25	2	93		3.5	2009	True	18	[180,190)	95
10.1039/b905656d	nitroarene	MeOH	9.75	1481.0	151.89743589743588	no base	0.0	0.0	Raney Ni	Ni	no	air		190	25	2	91		4.4	2009	True	19	[190,200)	93
10.1039/b905656d	nitroarene	MeOH	9.75	1481.0	151.89743589743588	no base	0.0	0.0	Raney Ni	Ni	no	air		170	25	1	96		3	2009	True	17	[170,180)	97
10.1039/b905656d	nitroarene	MeOH	9.75	1481.0	151.89743589743588	no base	0.0	0.0	Raney Ni	Ni	no	air		170	25	0	97		3	2009	True	17	[170,180)	97
10.1039/b905656d	nitroarene	MeOH	9.75	1481.0	151.89743589743588	no base	0.0	0.0	Raney Ni	Ni	no	air		170	25	0	98		3	2009	True	17	[170,180)	98
10.1039/b905656d	nitroarene	MeOH	9.75	1481.0	151.89743589743588	no base	0.0	0.0	Raney Ni	Ni	no	air		170	25	0	97		3	2009	True	17	[170,180)	97
10.1039/b905656d	nitroarene	MeOH	9.75	1481.0	151.89743589743588	no base	0.0	0.0	Raney Ni	Ni	no	air		170	25	2	94		3	2009	True	17	[170,180)	96
10.1039/b905656d	nitroarene	MeOH	9.75	1481.0	151.89743589743588	no base	0.0	0.0	Raney Ni	Ni	no	air		170	25	4	91		3	2009	True	17	[170,180)	95
10.1039/b905656d	nitroarene	MeOH	9.75	1481.0	151.89743589743588	no base	0.0	0.0	Raney Ni	Ni	no	air		170	25	3	89		3	2009	True	17	[170,180)	92
10.1039/b905656d	nitroarene	MeOH	9.75	1481.0	151.89743589743588	no base	0.0	0.0	Raney Ni	Ni	no	air		170	25	2	89		3	2009	True	17	[170,180)	91
10.1039/b905656d	nitroarene	MeOH	9.75	1481.0	151.89743589743588	no base	0.0	0.0	Raney Ni	Ni	1 ml H2O	air		170	25	1	95		3	2009	True	17	[170,180)	96
10.1039/b905656d	nitroarene	MeOH	19.5	1481.0	75.94871794871794	no base	0.0	0.0	Raney Ni	Ni	2 ml H2O	air		170	25	1	96		3	2009	True	17	[170,180)	97
10.1039/b905656d	nitroarene	MeOH	29.25	1481.0	50.63247863247863	no base	0.0	0.0	Raney Ni	Ni	3 ml H2O	air		170	25	1	93		3	2009	True	17	[170,180)	94
10.1039/b905656d	nitroarene	MeOH	39.0	1481.0	37.97435897435897	no base	0.0	0.0	Raney Ni	Ni	4 ml H2O	air		170	25	3	93		3	2009	True	17	[170,180)	96
10.1039/b905656d	nitroarene	MeOH	43.75	1481.0	33.85142857142857	no base	0.0	0.0	Raney Ni	Ni	5 ml H2O	air		170	25	5	89		3	2009	True	17	[170,180)	94
10.1039/c3sc52676c	aniline	MeOH	1.0	16.0	16.0	no base	0.0	0.0	g CuAlOx	Cu	no	air		160	12	50	5			2013	False	16	[160,170)	55
10.1039/c3sc52676c	aniline	MeOH	1.0	16.0	16.0	no base	0.0	0.0	g CuAlOx	Cu	no	air		160	12	48	3		p CO2 = 3 MPa	2013	False	16	[160,170)	51
10.1039/c3sc52676c	aniline	MeOH	1.0	16.0	16.0	no base	0.0	0.0	g CuAlOx	Cu	no	air		160	12	57	6		p CO2 = 3 Mpa, p H2 = 6 MPa	2013	False	16	[160,170)	63
10.1134/s0965544114060024	aniline	MeOH	0.5	24.7	49.4	MeONa	0.5	1.0	Ru_1	Ru	no	air	1.0	110	6	71	0	71.0		2014	True	11	[110,120)	71
10.1134/s0965544114060024	aniline	MeOH	0.5	24.7	49.4	MeONa	0.5	1.0	Ru_1	Ru	no	air	1.0	110	8	82	0	82.0		2014	True	11	[110,120)	82
10.1134/s0965544114060024	aniline	MeOH	0.5	24.7	49.4	MeONa	0.5	1.0	Ru_1	Ru	no	air	1.0	110	10	91	0	91.0		2014	True	11	[110,120)	91
10.1134/s0965544114060024	aniline	MeOH	0.5	24.7	49.4	MeONa	0.5	1.0	Ru_1	Ru	no	air	0.2	110	12	27	0	135.0		2014	False	11	[110,120)	27
10.1134/s0965544114060024	aniline	MeOH	0.5	24.7	49.4	MeONa	0.5	1.0	Ru_1	Ru	no	air	0.5	110	12	59	0	118.0		2014	False	11	[110,120)	59
10.1134/s0965544114060024	aniline	MeOH	0.5	24.7	49.4	MeONa	0.1	0.2	Ru_1	Ru	no	air	1.0	110	12	43	0	43.0		2014	False	11	[110,120)	43
10.1134/s0965544114060024	aniline	MeOH	0.5	24.7	49.4	MeONa	0.25	0.5	Ru_1	Ru	no	air	1.0	110	12	67	0	67.0		2014	True	11	[110,120)	67
