doi	solvent	PhNH2	BnOH	alc2aniline_ratio	base	base_amount	catalyst	metal	ligand	atmosphere	cat_load	temp	time	yield	TON	comment	success	atm_type	year	base_amine_ratio	base_alcohol_ratio
10.1038/ncomms7478	PhMe	1.0	2.0	2.0	KOH	0.5	carbon		no	Ar	0.0	130.0	24.0	99.0	inf	0	True	inert	2015	0.5	0.25
10.1038/ncomms7478	PhMe	1.0	2.0	2.0	KOH	0.5	carbon		no	Ar	0.0	130.0	24.0	3.0	inf	0	False	inert	2015	0.5	0.25
10.1038/ncomms7478	PhMe	1.0	2.0	2.0	no base	0.5	carbon		no	Ar	0.0	130.0	24.0	0.0		0	False	inert	2015	0.5	0.25
10.1039/c5ra07681a	PhMe	1.0	1.5	1.5	KOH	0.5	no		no	Ar	0.0	150.0	4.0	11.0	inf	0	False	inert	2015	0.5	0.3333333333333333
10.1016/j.catcom.2014.06.020	neat	4.0	40.0	10.0	no base	0.0	no		no	Air	0.0	220.0	6.0	2.0	inf	0	False	oxygen	2014	0.0	0.0
10.1016/j.catcom.2014.06.020	neat	4.0	40.0	10.0	NaOH	1.0	no		no	Air	0.0	220.0	6.0	99.0	inf	0	True	oxygen	2014	0.25	0.025
10.1016/j.catcom.2014.06.020	neat	4.0	40.0	10.0	NaNH2	1.0	no		no	Air	0.0	220.0	6.0	77.0	inf	0	True	oxygen	2014	0.25	0.025
10.1016/j.catcom.2014.06.020	neat	4.0	40.0	10.0	MeONa	1.0	no		no	Air	0.0	220.0	6.0	54.0	inf	0	False	oxygen	2014	0.25	0.025
10.1016/j.catcom.2014.06.020	neat	4.0	40.0	10.0	Na2CO3	1.0	no		no	Air	0.0	220.0	6.0	5.0	inf	0	False	oxygen	2014	0.25	0.025
10.1016/j.catcom.2014.06.020	neat	4.0	40.0	10.0	NaHCO3	1.0	no		no	Air	0.0	220.0	6.0	3.0	inf	0	False	oxygen	2014	0.25	0.025
10.1016/j.catcom.2014.06.020	neat	4.0	40.0	10.0	NaOAc	1.0	no		no	Air	0.0	220.0	6.0	5.0	inf	0	False	oxygen	2014	0.25	0.025
10.1016/j.catcom.2014.06.020	neat	4.0	40.0	10.0	tBuOK	1.0	no		no	Air	0.0	220.0	6.0	51.0	inf	0	False	oxygen	2014	0.25	0.025
10.1016/j.catcom.2014.06.020	neat	4.0	40.0	10.0	K2CO3	1.0	no		no	Air	0.0	220.0	6.0	23.0	inf	0	False	oxygen	2014	0.25	0.025
10.1016/j.catcom.2014.06.020	neat	4.0	40.0	10.0	Cs2CO3	1.0	no		no	Air	0.0	220.0	6.0	22.0	inf	0	False	oxygen	2014	0.25	0.025
10.1002/ejoc.201500086	mesitylene	1.0	1.2	1.2	KOH	0.2	no		no	Ar	0.0	140.0	24.0	66.0	inf	0	True	inert	2015	0.2	0.1666666666666666
10.1002/ejoc.201500086	mesitylene	1.0	1.2	1.2	KOH	0.2	no		no	Air	0.0	140.0	24.0	8.0	inf	0	False	oxygen	2015	0.2	0.1666666666666666
10.1002/ejoc.201500086	mesitylene	1.0	1.2	1.2	KOH	0.2	no		no	O2	0.0	140.0	24.0	0.0		0	False	oxygen	2015	0.2	0.1666666666666666
10.1002/ejoc.201500086	mesitylene	1.0	1.2	1.2	LiOH	0.2	no		no	Ar	0.0	140.0	24.0	1.0	inf	0	False	inert	2015	0.2	0.1666666666666666
10.1002/ejoc.201500086	mesitylene	1.0	1.2	1.2	NaOH	0.2	no		no	Ar	0.0	140.0	24.0	26.0	inf	0	False	inert	2015	0.2	0.1666666666666666
10.1002/ejoc.201500086	mesitylene	1.0	1.2	1.2	CsOH	0.2	no		no	Ar	0.0	140.0	24.0	87.0	inf	0	True	inert	2015	0.2	0.1666666666666666
10.1002/ejoc.201500086	mesitylene	1.0	1.2	1.2	CsOH	0.2	no		no	N2 (2.8 ppm O2)	0.0	140.0	24.0	38.0	inf	0	False	oxygen	2015	0.2	0.1666666666666666
10.1002/ejoc.201500086	mesitylene	1.0	1.2	1.2	CsOH	0.2	no		O2 (2 mol%)	Ar	0.0	140.0	24.0	96.0	inf	0	True	inert	2015	0.2	0.1666666666666666
10.1002/ejoc.201500086	mesitylene	1.0	1.2	1.2	CsOH	0.2	no		no	Air	0.0	140.0	24.0	11.0	inf	0	False	oxygen	2015	0.2	0.1666666666666666
10.1002/ejoc.201500086	mesitylene	1.0	1.2	1.2	CsOH	0.2	no		O2 (2 mol%)	Ar	0.0	120.0	24.0	79.0	inf	0	True	inert	2015	0.2	0.1666666666666666
10.1002/ejoc.201500086	mesitylene	1.0	1.2	1.2	no base	0.2	no		no	Ar	0.0	140.0	24.0	0.0		0	False	inert	2015	0.2	0.1666666666666666
10.1002/ejoc.201500086	neat	1.0	1.2	1.2	CsOH	0.2	no		O2 (2 mol%)	Ar	0.0	140.0	24.0	74.0	inf	0	True	inert	2015	0.2	0.1666666666666666
10.1002/ejoc.201500086	PhCl	1.0	1.2	1.2	CsOH	0.2	no		O2 (2 mol%)	Ar	0.0	140.0	24.0	82.0	inf	0	True	inert	2015	0.2	0.1666666666666666
10.1002/ejoc.201500086	H2O	1.0	1.2	1.2	CsOH	0.2	no		O2 (2 mol%)	Ar	0.0	140.0	24.0	0.0		0	False	inert	2015	0.2	0.1666666666666666
