doi	solvent	PhNO2	BnOH	base	base_amount	catalyst	metal	ligand	atmosphere	cat_load	temp	time	yield	TON	comment	alc2nitroo_ratio	alc2nitro_ratio	base_nitro_ratio	base_alcohol_ratio	success
10.1021/acs.inorgchem.2c00703	PhMe	1.0	5.0	tBuOK	5.0	Cp*IrCl(N^O)1	Ir	no	inert	1.0	100.0	10.0	81.0	81.0	0	5.0	5.0	5.0	1.0	True
10.1248/cpb.14.731	neat	100.0	550.0	KOH	500.0	no		no	air	0.0	250.0	1.5	33.0	inf	0	550.0	5.5	5.0	0.9090909090909092	False
10.1248/cpb.14.731	neat	100.0	550.0	KOH	500.0	no		no	air	0.0	200.0	1.5	22.0	inf	0	550.0	5.5	5.0	0.9090909090909092	False
10.1021/ol1020527	neat	0.2	1.5	no base	0.0	RuCl3	Ru	no	Ar	5.0	150.0	16.0	0.0	0.0	0	1.5	7.5	0.0	0.0	False
10.1021/ol1020527	neat	0.2	1.5	no base	0.0	RuCl3	Ru	15% PPh3	Ar	5.0	150.0	16.0	14.0	2.8	0	0.375	7.5	0.0	0.0	False
10.1021/ol1020527	neat	0.2	1.5	no base	0.0	RuCl3	Ru	7,5% dppp	Ar	5.0	150.0	16.0	0.0	0.0	0	0.375	7.5	0.0	0.0	False
10.1021/ol1020527	neat	0.2	1.5	no base	0.0	RuCl3	Ru	7,5% dppb	Ar	5.0	150.0	16.0	0.0	0.0	0	0.375	7.5	0.0	0.0	False
10.1021/ol1020527	neat	0.2	1.5	no base	0.0	RuCl3	Ru	7,5% dppe	Ar	5.0	150.0	16.0	0.0	0.0	0	0.375	7.5	0.0	0.0	False
10.1021/ol1020527	neat	0.2	1.5	no base	0.0	RuCl3	Ru	7,5% dppf	Ar	5.0	150.0	16.0	0.0	0.0	0	0.375	7.5	0.0	0.0	False
10.1021/ol1020527	neat	0.2	1.5	no base	0.0	RuCl3	Ru	7,5% binap	Ar	5.0	150.0	16.0	79.0	15.8	0	0.375	7.5	0.0	0.0	True
10.1021/ol1020527	neat	0.2	1.5	no base	0.0	RuCl3	Ru	7,5% phen	Ar	5.0	150.0	16.0	0.0	0.0	0	0.375	7.5	0.0	0.0	False
10.1021/ol1020527	neat	0.2	1.5	no base	0.0	RuCl3	Ru	7,5% LE5	Ar	5.0	150.0	16.0	97.0	19.4	0	0.375	7.5	0.0	0.0	True
10.1021/ol1020527	neat	0.2	1.5	no base	0.0	Ru(acac)3	Ru	7,5% LE5	Ar	5.0	150.0	16.0	133.0	26.6	0	0.375	7.5	0.0	0.0	True
10.1021/ol1020527	neat	0.2	1.5	no base	0.0	cymeneRuCl2	Ru	7,5% LE5	Ar	5.0	150.0	16.0	98.0	19.6	0	0.375	7.5	0.0	0.0	True
10.1021/ol1020527	neat	0.2	1.5	no base	0.0	[RuCl2(COD)]	Ru	7,5% LE5	Ar	5.0	150.0	16.0	124.0	24.8	0	1.5	7.5	0.0	0.0	True
10.1021/ol1020527	neat	0.2	1.5	no base	0.0	RuCl2(PPh3)3	Ru	7,5% LE5	Ar	5.0	150.0	16.0	97.0	19.4	0	1.5	7.5	0.0	0.0	True
10.1021/ol1020527	neat	0.2	1.5	no base	0.0	Ru(CO)(H)Cl(PPh3)3	Ru	7,5% LE5	Ar	5.0	150.0	16.0	144.0	28.8	0	1.5	7.5	0.0	0.0	True
10.1021/ol1020527	neat	0.2	1.5	no base	0.0	Ru(CO)H2(PPh3)3	Ru	7,5% LE5	Ar	5.0	150.0	16.0	193.0	38.6	0	1.5	7.5	0.0	0.0	True
10.1021/ol1020527	neat	0.2	1.5	no base	0.0	Ru(CO)H2(PPh3)3	Ru	no	Ar	5.0	150.0	16.0	112.0	22.4	0	1.5	7.5	0.0	0.0	True
10.1021/ol1020527	neat	0.2	1.5	no base	0.0	Ru(CO)H2(PPh3)3	Ru	5% LE5	Ar	5.0	150.0	16.0	155.0	31.0	0	1.5	7.5	0.0	0.0	True
10.1021/ol1020527	neat	0.2	1.5	no base	0.0	Ru(CO)H2(PPh3)3	Ru	3,75% LE5	Ar	2.5	150.0	16.0	105.0	42.0	0	1.5	7.5	0.0	0.0	True
10.1021/ol1020527	neat	0.2	1.5	no base	0.0	Ru(CO)H2(PPh3)3	Ru	7,5% LE5	Ar	5.0	130.0	16.0	136.0	27.2	0	1.5	7.5	0.0	0.0	True
10.1021/ol1020527	xylene	0.2	1.5	no base	0.0	Ru(CO)H2(PPh3)3	Ru	7,5% LE5	Ar	5.0	150.0	16.0	40.0	8.0	0	1.5	7.5	0.0	0.0	False
10.1021/ol1020527	neat	0.2	0.4	no base	0.0	Ru(CO)H2(PPh3)3	Ru	7,5% LE5	Ar	5.0	150.0	16.0	41.0	8.2	0	0.4	2.0	0.0	0.0	False
10.1039/c1cc11057h	neat	5.0	50.0	no base	0.0	Fe2O3	Fe	0	Ar	1.0	160.0	8.0	0.0	0.0	0	50.0	10.0	0.0	0.0	False
10.1039/c1cc11057h	neat	5.0	50.0	no base	0.0	1.8 wt% Au/Fe2O3	Au	0	Ar	0.18	160.0	8.0	25.0	138.88888888888889	0	50.0	10.0	0.0	0.0	False
10.1039/c1cc11057h	neat	5.0	50.0	no base	0.0	4.3 wt% Au/Fe2O3	Au	0	Ar	0.44	160.0	8.0	52.0	118.1818181818182	0	50.0	10.0	0.0	0.0	False
10.1039/c1cc11057h	neat	5.0	50.0	no base	0.0	6.3 wt% Au/Fe2O3	Au	0	Ar	0.64	160.0	8.0	65.0	101.5625	0	50.0	10.0	0.0	0.0	False
10.1039/c1cc11057h	neat	5.0	50.0	no base	0.0	9.1 wt% Au/Fe2O3	Au	0	Ar	0.92	160.0	8.0	94.0	102.17391304347824	0	50.0	10.0	0.0	0.0	True
10.1039/c1cc11057h	neat	5.0	50.0	no base	0.0	2.8 wt% Au/CeO2	Au	0	Ar	0.28	160.0	8.0	5.0	17.857142857142854	0	50.0	10.0	0.0	0.0	False
10.1039/c1cc11057h	neat	5.0	50.0	no base	0.0	2.8 wt% Au/Co3O4	Au	0	Ar	0.28	160.0	8.0	6.0	21.428571428571427	0	50.0	10.0	0.0	0.0	False
10.1039/c1cc11057h	neat	5.0	50.0	no base	0.0	2.5 wt% Au/NiO	Au	0	Ar	0.25	160.0	8.0	57.0	228.0	0	50.0	10.0	0.0	0.0	False
10.1039/c1cc11057h	neat	5.0	50.0	no base	0.0	3.6 wt% Pd/Fe2O3	Pd	0	Ar	0.68	160.0	8.0	3.0	4.411764705882352	0	50.0	10.0	0.0	0.0	False
