doi	solvent	amine_type	pKa_amine	n_amine	alcohol_type	pKa_alcohol	n_alcohol	base	base_amount	catalyst	metal	ligand	atmosphere	metal_load	temp	time	yield	TON	atm_type	year	base_amine_ratio	base_alcohol_ratio	reag_ratio
10.1021/jo501273t	neat	Aliphatic	10.0	1.0	AlkCH2OH	17.0	87.0	tBuOK	0.12	[Ru(p-cymene)Cl2]2	Ru	MS 3A, ligand	N2	6.0	25.0	61.0	81.0	13.5	inert	2014	0.12	0.0013793103448275	87.0
10.1021/jo501273t	neat	Aliphatic	10.0	1.0	AlkCH2OH	17.0	87.0	tBuOK	0.12	[Ru(p-cymene)Cl2]2	Ru	MS 3A, ligand	N2	6.0	25.0	61.0	81.0	13.5	inert	2014	0.12	0.0013793103448275	87.0
10.1021/jo501273t	neat	Aliphatic	10.0	1.0	AlkCH2OH	17.0	87.0	tBuOK	0.24	[Ru(p-cymene)Cl2]2	Ru	MS 3A, ligand	N2	12.0	25.0	48.0	99.0	8.25	inert	2014	0.24	0.0027586206896551	87.0
10.1021/jo501273t	neat	Aliphatic	10.0	1.0	AlkCH2OH	17.0	87.0	tBuOK	0.24	[Ru(p-cymene)Cl2]2	Ru	MS 3A, ligand	N2	12.0	25.0	48.0	99.0	8.25	inert	2014	0.24	0.0027586206896551	87.0
10.1021/jo501273t	neat	Aliphatic	10.0	1.0	AlkCH2OH	17.0	87.0	tBuOK	0.24	[Ru(p-cymene)Cl2]2	Ru	MS 3A, ligand	N2	12.0	25.0	48.0	99.0	8.25	inert	2014	0.24	0.0027586206896551	87.0
10.1021/jo501273t	neat	Aliphatic	10.0	1.0	AlkCH2OH	17.0	87.0	tBuOK	0.24	[Ru(p-cymene)Cl2]2	Ru	MS 3A, ligand	N2	12.0	25.0	48.0	99.0	8.25	inert	2014	0.24	0.0027586206896551	87.0
10.1021/cs300756f	neat	Aromatic	4.5	0.05	BnOH	15.4	50.0	no base	0.0	Pd0,3/TiO2	Pd	hv (lambda>300 nm)	N2	3.0	25.0	10.0	97.0	32.333333333333336	inert	2013	0.0	0.0	1000.0
10.1021/cs300756f	neat	Aromatic	4.5	0.05	BnOH	15.4	50.0	no base	0.0	Pd0,3/TiO2	Pd	hv (lambda>300 nm)	N2	3.0	25.0	10.0	82.0	27.33333333333333	inert	2013	0.0	0.0	1000.0
10.1021/cs300756f	neat	Aromatic	4.5	0.05	BnOH	15.4	50.0	no base	0.0	Pd0,3/TiO2	Pd	hv (lambda>300 nm)	N2	3.0	25.0	10.0	96.0	32.0	inert	2013	0.0	0.0	1000.0
10.1021/cs300756f	neat	Aromatic	4.5	0.05	BnOH	15.4	50.0	no base	0.0	Pd0,3/TiO2	Pd	hv (lambda>300 nm)	N2	3.0	25.0	10.0	82.0	27.33333333333333	inert	2013	0.0	0.0	1000.0
